restaurant_name,zip_code,inspection_date,score,address,facility_id,process_description,serialid
Buca di Beppo,78759,2012-11-27,86,"3600 TUDOR BLVD AUSTIN, TX 78759 (30.384027537000463, -97.73693248399968)",2801710,Routine Inspection,17402
Stone House Vineyard & Winery,78669,2012-02-02,96,"24350 HAYNIE FLAT RD SPICEWOOD, TX 78669 (30.43711751200044, -98.06801522599966)",2802886,Routine Inspection,17403
Golden Wok,78753,2013-04-24,79,"500 CANYON RIDGE DR AUSTIN, TX 78753 (30.403166412000473, -97.6721713389997)",2802503,Routine Inspection,17404
La Hacienda Market,78758,2012-10-26,89,"1812 PAYTON GIN RD AUSTIN, TX 78758 (30.365605231000472, -97.71717771699969)",2804030,Routine Inspection,17405
Texas Roadhouse,78729,2011-04-01,89,"13435 N US 183 HWY Bldg 7 AUSTIN, TX 78729 (30.450901555000485, -97.76774771799967)",10002062,Routine Inspection,17406
South Austin Senior,78704,2012-07-18,100,"3911 MANCHACA RD AUSTIN, TX 78704 (30.23414406100045, -97.78550512099969)",2800931,Routine Inspection,17407
Logan's Roadhouse,78745,2013-02-01,84,"701 E STASSNEY LN Bldg C AUSTIN, TX 78745 (30.20081477600047, -97.7689601029997)",2802027,Routine Inspection,17408
Zero Degree Ice Cream Creation,78717,2011-09-29,94,"11301 LAKELINE BLVD Bunit 200 AUSTIN, TX 78717 (30.480042883000465, -97.8010789219997)",10109542,Routine Inspection,17409
"Parmer Children's Montessori Academy,LLC",78727,2013-06-25,100,"1701 SCOFIELD LN AUSTIN, TX 78727 (30.41565837900049, -97.6886192339997)",10484028,Routine Inspection,17410
Brodie's Food Mart,78745,2011-10-17,91,"7612 BRODIE LN AUSTIN, TX 78745 (30.20661719800046, -97.83529651399965)",10549062,Routine Inspection,17411
Norman Elementary,78721,2011-04-21,96,"4001 TANNEHILL LN AUSTIN, TX 78721 (30.278983438000466, -97.67417535899966)",2800302,Routine Inspection,17412
