restaurant_name,zip_code,inspection_date,score,address,facility_id,process_description,serialid
Szechuan House,78758,2014-02-14,81,"11005 BURNET RD Unit 100 AUSTIN, TX 78758 (30.394540357000437, -97.7206515909997)",10806002,1st Follow Up to Routine of 50 - 69,1
Sea Dragon,78757,2011-11-14,88,"8776 RESEARCH BLVD SB Bldg B AUSTIN, TX 78757 (30.353851738000458, -97.71564951699969)",2800134,1st Follow Up to Routine of 50 - 69,2
Daawat,78753,2014-01-29,73,"500 CANYON RIDGE DR Bunit 275 AUSTIN, TX 78753 (30.403166412000473, -97.6721713389997)",10905057,1st Follow Up to Routine of 50 - 69,3
Las Cazuelas,78702,2011-03-17,78,"1701 E CESAR CHAVEZ ST AUSTIN, TX 78702 (30.257713812000475, -97.7263995299997)",2801739,1st Follow Up to Routine of 50 - 69,4
Sagiang Restaurant,78759,2011-11-09,88,"12636 RESEARCH BLVD SB AUSTIN, TX 78759 (30.431715420000444, -97.76537252699967)",2801389,1st Follow Up to Routine of 50 - 69,5
El Meson,78741,2013-08-28,84,"5808 BURLESON RD AUSTIN, TX 78741 (30.20768553600044, -97.72101875799967)",2801979,1st Follow Up to Routine of 50 - 69,6
Korea House,78757,2013-08-27,84,"2700 W ANDERSON LN AUSTIN, TX 78757 (30.358096074000457, -97.73503861399968)",2800649,1st Follow Up to Routine of 50 - 69,7
Jim's Coffee Shop,78750,2013-02-12,86,"12832 N US 183 HWY SVRD SB AUSTIN, TX 78750 (30.43159235000047, -97.80135633599969)",2800319,1st Follow Up to Routine of 50 - 69,8
Sonic Drive In,78726,2013-02-07,80,"11506 N FM 620 RD AUSTIN, TX 78726 (30.454311585000482, -97.82703051899966)",2802126,1st Follow Up to Routine of 50 - 69,9
SV - IM Thai Cuisine,78745,2013-12-05,94,"5207 BRODIE LN Unit 200 SUNSET VALLEY, TX 78745 (30.23160350200044, -97.81887585999965)",10495246,1st Follow Up to Routine of 50 - 69,10
Twin Lion Chinese Restaurant,78759,2013-10-09,96,"4815 W BRAKER LN AUSTIN, TX 78759 (30.400682705000463, -97.7478491869997)",2800036,1st Follow Up to Routine of 50 - 69,11
Janitzio Mexican Restaurant,78705,2013-05-06,94,"600 W MARTIN LUTHER KING JR BLVD AUSTIN, TX 78705 (30.282466787000487, -97.74448309499968)",10531243,1st Follow Up to Routine of 50 - 69,12
R.C. Fowlers Bar & Grill,78750,2012-01-04,74,"12233 N FM 620 RD AUSTIN, TX 78750 (30.43159235000047, -97.80135633599969)",2802638,1st Follow Up to Routine of 50 - 69,13
La Catedral Del Marisco #2,78741,2013-07-24,79,"1605 E OLTORF ST AUSTIN, TX 78741 (30.233324449000463, -97.73952989499969)",10842202,1st Follow Up to Routine of 50 - 69,14
La Condesa Restaurant,78701,2013-04-30,84,"400 W 2ND ST Unit A AUSTIN, TX 78701 (30.265376242000457, -97.74777884599968)",10221919,1st Follow Up to Routine of 50 - 69,15
Ronald Cheng's Chinatown Downtown,78701,2013-02-22,94,"107 W 5TH ST AUSTIN, TX 78701 (30.26730397500046, -97.74377837199967)",10225925,1st Follow Up to Routine of 50 - 69,16
Senor Buddys,78736,2013-08-15,64,"8600 W US 290 HWY AUSTIN, TX 78736 (30.221933583000464, -97.95596649699968)",10155925,1st Follow Up to Routine of 50 - 69,17
TC Noodle House,78753,2011-03-08,87,"10901 N LAMAR BLVD Bunit 203 AUSTIN, TX 78753 (30.378465551000488, -97.6882935219997)",10002121,1st Follow Up to Routine of 50 - 69,18
Dragon Garden,78727,2014-01-15,82,"13717 BURNET RD Unit 450 AUSTIN, TX 78727 (30.437794994000456, -97.69867960899967)",10892671,1st Follow Up to Routine of 50 - 69,19
Sea Dragon,78757,2013-07-24,75,"8776 RESEARCH BLVD SB Bldg B AUSTIN, TX 78757 (30.353851738000458, -97.71564951699969)",2800134,1st Follow Up to Routine of 50 - 69,20
CiCi's Pizza,78741,2013-05-08,90,"2237 E RIVERSIDE DR AUSTIN, TX 78741 (30.238160394000488, -97.72596011399969)",10171088,1st Follow Up to Routine of 50 - 69,21
Holiday Inn Austin Town Lake Pecan Tree Restaurant,78701,2013-04-01,92,"20 N IH 35 SVRD SB AUSTIN, TX 78701 (30.269910351000476, -97.74363728299966)",10004208,1st Follow Up to Routine of 50 - 69,22
WL - Lupe Tortillas Mexican Restaurant,78746,2013-11-13,87,"701 S CAPITAL OF TEXAS HWY Bldg A WEST LAKE HILLS, TX 78746 (30.291909645000487, -97.82816212599965)",10805455,1st Follow Up to Routine of 50 - 69,23
Man Pasand Grocery,78749,2013-01-03,91,"3601 W WILLIAM CANNON DR Bunit 751 AUSTIN, TX 78749 (30.21446746500044, -97.83195647999969)",10339887,1st Follow Up to Routine of 50 - 69,24
Hunan Riverplace,78730,2013-06-03,74,"10601 FM 2222 RD Bldg A AUSTIN, TX 78730 (30.39351465800047, -97.8439012499997)",10208044,1st Follow Up to Routine of 50 - 69,25
La Catracha,78758,2013-07-22,68,"10500 N LAMAR BLVD AUSTIN, TX 78758 (30.373875963000444, -97.69097739399967)",10648379,1st Follow Up to Routine of 50 - 69,26
Hai Ky,78759,2013-09-03,88,"3808 SPICEWOOD SPRINGS RD AUSTIN, TX 78759 (30.364837734000446, -97.74957960999967)",10633760,1st Follow Up to Routine of 50 - 69,27
Dimassi's Mediterranean Buffet,78759,2011-10-03,83,"12636 RESEARCH BLVD SB Bunit 101 AUSTIN, TX 78759 (30.431715420000444, -97.76537252699967)",10614307,1st Follow Up to Routine of 50 - 69,28
The Pizza Bistro,78758,2014-01-13,93,"12001 BURNET RD Unit D AUSTIN, TX 78758 (30.407732702000487, -97.7139137859997)",10316325,1st Follow Up to Routine of 50 - 69,29
Villa Mexico Restaurant,78745,2013-08-23,76,"4619 S CONGRESS AVE AUSTIN, TX 78745 (30.21558436300046, -97.76853489999968)",10685082,1st Follow Up to Routine of 50 - 69,30
Perry's Steakhouse & Grill,78701,2013-05-31,81,"114 W 7TH ST AUSTIN, TX 78701 (30.269277202000467, -97.74340291399966)",10131172,1st Follow Up to Routine of 50 - 69,31
Hit The Spot Cafe,78617,2011-06-22,85,"5121 ALBERT BROWN DR DEL VALLE, TX 78617 (30.18763822000045, -97.5605478439997)",10357550,1st Follow Up to Routine of 50 - 69,32
Holiday Inn Austin Town Lake Pecan Tree Restaurant,78701,2014-02-06,78,"20 N IH 35 SVRD SB AUSTIN, TX 78701 (30.269910351000476, -97.74363728299966)",10004208,1st Follow Up to Routine of 50 - 69,33
Taqueria Arandas #5,78704,2013-03-13,90,"2448 S 1ST ST AUSTIN, TX 78704 (30.24054697900044, -97.76067634299966)",2800822,1st Follow Up to Routine of 50 - 69,34
Maggie Mae's,78701,2013-08-05,88,"323 E 6TH ST AUSTIN, TX 78701 (30.267133420000448, -97.73957727099969)",2800652,1st Follow Up to Routine of 50 - 69,35
888 Vietnamese,78741,2011-10-06,78,"2400 E OLTORF ST Unit 1-A AUSTIN, TX 78741 (30.22940405400044, -97.73032347899965)",2802966,1st Follow Up to Routine of 50 - 69,36
Holiday Inn Austin Town Lake Pecan Tree Restaurant,78701,2012-10-02,94,"20 N IH 35 SVRD SB AUSTIN, TX 78701 (30.269910351000476, -97.74363728299966)",10004208,1st Follow Up to Routine of 50 - 69,37
Zen Restaurant,78757,2011-12-21,96,"2900 W ANDERSON LN AUSTIN, TX 78757 (30.359365762000436, -97.73751758299966)",2801525,1st Follow Up to Routine of 50 - 69,38
Piranha Killer Sushi,78701,2012-12-28,100,"207 SAN JACINTO BLVD AUSTIN, TX 78701 (30.264350058000446, -97.74149127699968)",10248607,1st Follow Up to Routine of 50 - 69,39
Buffet Palace,78745,2013-04-18,83,"4608 WEST GATE BLVD AUSTIN, TX 78745 (30.230170367000483, -97.80093087099965)",2801713,1st Follow Up to Routine of 50 - 69,40
La Hacienda Market,78752,2013-02-13,100,"7517 CAMERON RD AUSTIN, TX 78752 (30.329440470000463, -97.68996946099969)",2804097,1st Follow Up to Routine of 50 - 69,41
Wholly Cow Burgers,78701,2013-04-16,92,"619 CONGRESS AVE AUSTIN, TX 78701 (30.268759615000477, -97.74253118899969)",10708031,1st Follow Up to Routine of 50 - 69,42
Fujian Grand China Buffet,78753,2013-08-28,80,"8709 N IH 35 SVRD NB AUSTIN, TX 78753 (30.34943027200046, -97.68862646699966)",10154335,1st Follow Up to Routine of 50 - 69,43
Ruby's Bar-B-Q,78705,2013-04-02,70,"512 W 29TH ST AUSTIN, TX 78705 (30.29525604100047, -97.74240919499965)",2800507,1st Follow Up to Routine of 50 - 69,44
Veggie Heaven,78705,2013-02-01,79,"1914 GUADALUPE ST AUSTIN, TX 78705 (30.282683533000466, -97.74207163799969)",2801042,1st Follow Up to Routine of 50 - 69,45
Casa Chapala Mexican Grill,78757,2011-12-19,81,"3010 W ANDERSON LN Unit D AUSTIN, TX 78757 (30.36056556900047, -97.73978691199966)",2803155,1st Follow Up to Routine of 50 - 69,46
Tapasitas,78701,2013-05-07,80,"800 W 6TH ST Unit 100 AUSTIN, TX 78701 (30.270407128000443, -97.75094168099969)",10794661,1st Follow Up to Routine of 50 - 69,47
Jalisco's Restaurant and Bar,78745,2011-09-28,82,"6601 S CONGRESS AVE AUSTIN, TX 78745 (30.194138259000454, -97.77835247199965)",10040040,1st Follow Up to Routine of 50 - 69,48
Sarovar Indian Cuisine,78757,2011-12-06,87,"8440 BURNET RD AUSTIN, TX 78757 (30.366428396000458, -97.72817140699965)",2801034,1st Follow Up to Routine of 50 - 69,49
Whistle Stop Grocery/La Mexicana,78753,2013-05-02,84,"834 E RUNDBERG LN Bldg B AUSTIN, TX 78753 (30.35724448400049, -97.6860845979997)",2803636,1st Follow Up to Routine of 50 - 69,50
Porfirio's Tacos,78702,2011-09-28,84,"1512 HOLLY ST AUSTIN, TX 78702 (30.25504652100045, -97.73064090099967)",2800077,1st Follow Up to Routine of 50 - 69,51
La Sabrocita Restaurant & Tortilleria,78753,2013-05-24,84,"850 E RUNDBERG LN AUSTIN, TX 78753 (30.356994574000453, -97.68570440299965)",10355256,1st Follow Up to Routine of 50 - 69,52
Morelia Mexican Grill,78717,2011-12-01,65,"9900 W PARMER LN AUSTIN, TX 78717 (30.48678335800048, -97.77075211499965)",10549853,1st Follow Up to Routine of 50 - 69,53
JD's Supermarket,78719,2014-01-21,80,"9111 FM 812 RD Bldg B AUSTIN, TX 78719 (30.145011956000474, -97.67318984199966)",10964142,1st Follow Up to Routine of 50 - 69,54
Mikado Ryotei,78758,2013-10-16,86,"9033 RESEARCH BLVD NB Unit 100 AUSTIN, TX 78758 (30.372905932000435, -97.72497705399968)",10617884,1st Follow Up to Routine of 50 - 69,55
Taqueria La Tapatia,78750,2013-04-26,92,"13450 N US 183 HWY Unit 243 AUSTIN, TX 78750 (30.43159235000047, -97.80135633599969)",10002586,1st Follow Up to Routine of 50 - 69,56
Little Caesar's Pizza,78741,2011-08-02,73,"4410 E RIVERSIDE DR AUSTIN, TX 78741 (30.23315389500044, -97.72143330099965)",2800233,1st Follow Up to Routine of 50 - 69,57
Los Jarochos Mexican Foods,78753,2014-02-14,81,"13609 N IH 35 SVRD NB Bunit B AUSTIN, TX 78753 (30.371744244000467, -97.6805695279997)",10935850,1st Follow Up to Routine of 50 - 69,58
BC - Waterloo Ice House,78738,2011-08-08,84,"12815 SHOPS PKWY Unit 100 BEE CAVE, TX 78738 (30.305614887000445, -97.94228186099969)",10263160,1st Follow Up to Routine of 50 - 69,59
Baby Acapulco #3,78751,2013-03-27,87,"5610 N IH 35 SVRD SB AUSTIN, TX 78751 (30.31036235200048, -97.72429766299967)",2800982,1st Follow Up to Routine of 50 - 69,60
Barchi Japanese Restaurant,78701,2013-06-13,93,"206 COLORADO ST AUSTIN, TX 78701 (30.265172039000447, -97.74537969399967)",10490383,1st Follow Up to Routine of 50 - 69,61
Mr. Natural,78702,2011-08-17,77,"1901 E CESAR CHAVEZ ST AUSTIN, TX 78702 (30.257033960000456, -97.72447012699968)",2800486,1st Follow Up to Routine of 50 - 69,62
T & S Seafood Restaurant,78758,2012-09-04,90,"10014 N LAMAR BLVD AUSTIN, TX 78758 (30.370006497000475, -97.69316736699966)",2801421,1st Follow Up to Routine of 50 - 69,63
Buffet King,78723,2013-05-03,85,"5451 N IH 35 SVRD NB AUSTIN, TX 78723 (30.307581548000485, -97.68754760699966)",10554382,1st Follow Up to Routine of 50 - 69,64
Lambert's Downtown Barbecue,78701,2013-06-11,77,"401 W 2ND ST AUSTIN, TX 78701 (30.265303508000443, -97.74773785299965)",10002278,1st Follow Up to Routine of 50 - 69,65
Restaurant El Rey,78721,2013-03-27,70,"3306 OAK SPRINGS DR AUSTIN, TX 78721 (30.273737688000438, -97.69702498899966)",10000741,1st Follow Up to Routine of 50 - 69,66
Saltgrass Steak House,78759,2013-08-06,83,"10614 RESEARCH BLVD SB AUSTIN, TX 78759 (30.397693255000434, -97.74664227399967)",2802215,1st Follow Up to Routine of 50 - 69,67
Bill Miller's Bar-B-Q,78748,2013-06-25,100,"136 W SLAUGHTER LN AUSTIN, TX 78748 (30.16727822000047, -97.78998929499966)",2802445,1st Follow Up to Routine of 50 - 69,68
Ski Shores Cafe,78730,2012-06-21,90,"2905 PEARCE RD AUSTIN, TX 78730 (30.333630910000466, -97.82381010999967)",10402595,1st Follow Up to Routine of 50 - 69,69
Taco Cabana #123,78701,2013-09-19,82,"517 W MARTIN LUTHER KING JR BLVD AUSTIN, TX 78701 (30.28214344300045, -97.74355807099965)",2800043,1st Follow Up to Routine of 50 - 69,70
Taqueria Los Altos,78722,2013-07-10,93,"3301 N IH 35 SVRD AUSTIN, TX 78722 (30.288802435000434, -97.71554682299967)",10505904,1st Follow Up to Routine of 50 - 69,71
Masala Wok,78758,2013-11-21,85,"10515 N MOPAC EXPY NB Bunit 155 AUSTIN, TX 78758 (30.383593075000476, -97.70797782299968)",10672549,1st Follow Up to Routine of 50 - 69,72
Star of India Rest.&Bar,78757,2011-12-28,85,"2900 W ANDERSON LN AUSTIN, TX 78757 (30.359365762000436, -97.73751758299966)",2800900,1st Follow Up to Routine of 50 - 69,73
La Michoacana Meat Market,78741,2011-09-26,83,"2237 E RIVERSIDE DR Unit 106 AUSTIN, TX 78741 (30.238160394000488, -97.72596011399969)",10231076,1st Follow Up to Routine of 50 - 69,74
Madras Pavillion,78758,2013-05-22,84,"9025 RESEARCH BLVD NB Unit 100 AUSTIN, TX 78758 (30.372396636000474, -97.72385897199968)",10579845,1st Follow Up to Routine of 50 - 69,75
JD's Market,78660,2012-08-08,89,"14300 DESSAU RD AUSTIN, TX 78660 (30.414426593000485, -97.63287618199968)",10435389,1st Follow Up to Routine of 50 - 69,76
Sagiang Restaurant,78759,2011-06-13,89,"12636 RESEARCH BLVD SB AUSTIN, TX 78759 (30.431715420000444, -97.76537252699967)",2801389,1st Follow Up to Routine of 50 - 69,77
"Park at the Domain, The",78758,2012-02-07,94,"11601 DOMAIN DR AUSTIN, TX 78758 (30.40282885500045, -97.7240318959997)",10583690,1st Follow Up to Routine of 50 - 69,78
Morelia Mexican Grill,78717,2011-12-15,93,"9900 W PARMER LN AUSTIN, TX 78717 (30.48678335800048, -97.77075211499965)",10549853,2nd Follow Up to 50 - 69,79
La Catracha,78758,2013-09-05,73,"10500 N LAMAR BLVD AUSTIN, TX 78758 (30.373875963000444, -97.69097739399967)",10648379,2nd Follow Up to 50 - 69,80
Senor Buddys,78736,2013-08-23,96,"8600 W US 290 HWY AUSTIN, TX 78736 (30.221933583000464, -97.95596649699968)",10155925,2nd Follow Up to 50 - 69,81
7-Eleven,78726,2012-10-31,95,"11518 N FM 620 RD AUSTIN, TX 78726 (30.45474271000046, -97.82656030899966)",10063456,Routine Inspection,82
7-Eleven,78741,2012-11-06,97,"1705 S LAKESHORE BLVD AUSTIN, TX 78741 (30.244862967000472, -97.72962112499965)",10132234,Routine Inspection,83
7-Eleven,78745,2013-06-21,100,"8010 BRODIE LN AUSTIN, TX 78745 (30.202847223000447, -97.8375267569997)",10138206,Routine Inspection,84
7-Eleven,78726,2011-05-17,92,"11518 N FM 620 RD AUSTIN, TX 78726 (30.45474271000046, -97.82656030899966)",10063456,Routine Inspection,85
7-Eleven,78745,2012-11-21,97,"8010 BRODIE LN AUSTIN, TX 78745 (30.202847223000447, -97.8375267569997)",10138206,Routine Inspection,86
7-Eleven,78741,2013-10-31,91,"1705 S LAKESHORE BLVD AUSTIN, TX 78741 (30.244862967000472, -97.72962112499965)",10132234,Routine Inspection,87
7-Eleven,78741,2011-11-30,90,"1705 S LAKESHORE BLVD AUSTIN, TX 78741 (30.244862967000472, -97.72962112499965)",10132234,Routine Inspection,88
7-Eleven,78701,2013-07-17,74,"411 W MARTIN LUTHER KING JR BLVD AUSTIN, TX 78701 (30.281724162000444, -97.7420372899997)",10401573,Routine Inspection,89
7-Eleven,78753,2011-04-25,93,"10111 N LAMAR BLVD AUSTIN, TX 78753 (30.370945734000486, -97.6925538429997)",10485525,Routine Inspection,90
7-Eleven,78704,2013-10-04,88,"1403 S LAMAR BLVD AUSTIN, TX 78704 (30.252960776000464, -97.76345852099968)",10479184,Routine Inspection,91
7-Eleven,78704,2011-05-06,94,"1403 S LAMAR BLVD AUSTIN, TX 78704 (30.252960776000464, -97.76345852099968)",10479184,Routine Inspection,92
7-Eleven #36597,78749,2013-08-16,97,"5445 W US 290 HWY EB AUSTIN, TX 78749 (30.215311012000484, -97.85749815199966)",10874829,Routine Inspection,93
7-Eleven #36265,78759,2014-01-28,100,"11587 JOLLYVILLE RD AUSTIN, TX 78759 (30.41612148300044, -97.74876118299966)",10839869,Routine Inspection,94
7-Eleven #36612,78752,2013-11-27,94,"6707 CAMERON RD AUSTIN, TX 78752 (30.322634852000476, -97.69430439999968)",10874856,Routine Inspection,95
7-Eleven #12702,78741,2012-01-31,85,"1747 E OLTORF ST AUSTIN, TX 78741 (30.232424298000467, -97.73724161599966)",10599390,Routine Inspection,96
7-Eleven #36610,78758,2013-08-26,94,"2616 W BRAKER LN AUSTIN, TX 78758 (30.391137548000472, -97.72123432099966)",10874915,Routine Inspection,97
7-Eleven #12702,78741,2013-02-04,92,"1747 E OLTORF ST AUSTIN, TX 78741 (30.232424298000467, -97.73724161599966)",10599390,Routine Inspection,98
7-Eleven #413,78758,2014-01-09,83,"9061 RESEARCH BLVD NB AUSTIN, TX 78758 (30.373866488000488, -97.72699055099969)",10874899,Routine Inspection,99
7-Eleven #12705,78701,2011-05-27,97,"408 W 15TH ST AUSTIN, TX 78701 (30.27821712500048, -97.7437736339997)",10207779,Routine Inspection,100
7-Eleven #410,78752,2014-01-02,94,"7114 N IH 35 SVRD SB AUSTIN, TX 78752 (30.332252490000485, -97.70383703299967)",10874864,Routine Inspection,101
7-Eleven #12705,78701,2014-01-21,97,"408 W 15TH ST AUSTIN, TX 78701 (30.27821712500048, -97.7437736339997)",10207779,Routine Inspection,102
7-Eleven #20829,78745,2013-08-01,90,"7814 S 1ST ST AUSTIN, TX 78745 (30.184148949000473, -97.7924741869997)",2800104,Routine Inspection,103
7-Eleven #36600,78753,2013-09-03,85,"1625 E PARMER LN AUSTIN, TX 78753 (30.387105818000464, -97.64905403299969)",10874919,Routine Inspection,104
7-Eleven #208,78759,2013-08-30,100,"11643 RESEARCH BLVD NB Unit B AUSTIN, TX 78759 (30.416498980000483, -97.74593256299966)",10874481,Routine Inspection,105
7-Eleven #20829,78745,2014-01-30,97,"7814 S 1ST ST AUSTIN, TX 78745 (30.184148949000473, -97.7924741869997)",2800104,Routine Inspection,106
7-Eleven #215,78727,2013-08-30,97,"12503 LAMPLIGHT VILLAGE AVE AUSTIN, TX 78727 (30.41629322300048, -97.6955456609997)",10874396,Routine Inspection,107
7-Eleven #20829,78745,2012-06-08,89,"7814 S 1ST ST AUSTIN, TX 78745 (30.184148949000473, -97.7924741869997)",2800104,Routine Inspection,108
7-Eleven #12705,78701,2013-01-04,94,"408 W 15TH ST AUSTIN, TX 78701 (30.27821712500048, -97.7437736339997)",10207779,Routine Inspection,109
7-Eleven #36587,78744,2013-10-07,86,"6515 S IH 35 SVRD NB AUSTIN, TX 78744 (30.188402392000455, -97.7461486959997)",10874670,Routine Inspection,110
7-Eleven #12702,78741,2012-07-31,82,"1747 E OLTORF ST AUSTIN, TX 78741 (30.232424298000467, -97.73724161599966)",10599390,Routine Inspection,111
7-Eleven #12702,78741,2013-08-12,84,"1747 E OLTORF ST AUSTIN, TX 78741 (30.232424298000467, -97.73724161599966)",10599390,Routine Inspection,112
7-Eleven #36265,78759,2013-07-16,93,"11587 JOLLYVILLE RD AUSTIN, TX 78759 (30.41612148300044, -97.74876118299966)",10839869,Routine Inspection,113
7-Eleven #12705,78701,2012-01-18,100,"408 W 15TH ST AUSTIN, TX 78701 (30.27821712500048, -97.7437736339997)",10207779,Routine Inspection,114
7-Eleven #12705,78701,2013-07-12,84,"408 W 15TH ST AUSTIN, TX 78701 (30.27821712500048, -97.7437736339997)",10207779,Routine Inspection,115
7-Eleven #23807,78745,2011-05-09,84,"6306 MANCHACA RD AUSTIN, TX 78745 (30.20909735200047, -97.80457648299966)",10322285,Routine Inspection,116
7-Eleven #20829,78745,2011-11-29,92,"7814 S 1ST ST AUSTIN, TX 78745 (30.184148949000473, -97.7924741869997)",2800104,Routine Inspection,117
7-Eleven #22245,78704,2013-10-31,97,"2103 S CONGRESS AVE AUSTIN, TX 78704 (30.24326549300048, -97.75199334199965)",10159452,Routine Inspection,118
7-Eleven - Vaishnavi Food and Gas,78704,2013-02-19,90,"2820 S LAMAR BLVD AUSTIN, TX 78704 (30.243664345000468, -97.78231668999967)",10096855,Routine Inspection,119
7-Eleven - Vaishnavi Food and Gas,78704,2011-08-25,96,"2820 S LAMAR BLVD AUSTIN, TX 78704 (30.243664345000468, -97.78231668999967)",10096855,Routine Inspection,120
7-Eleven #39069,78745,2012-10-18,90,"6607 CIRCLE S RD AUSTIN, TX 78745 (30.192531743000472, -97.77757449499967)",10623552,Routine Inspection,121
7-Eleven #22245,78704,2012-05-01,97,"2103 S CONGRESS AVE AUSTIN, TX 78704 (30.24326549300048, -97.75199334199965)",10159452,Routine Inspection,122
7-Eleven - Vaishnavi Food and Gas,78704,2012-02-22,96,"2820 S LAMAR BLVD AUSTIN, TX 78704 (30.243664345000468, -97.78231668999967)",10096855,Routine Inspection,123
7-Eleven #39069,78745,2013-10-28,100,"6607 CIRCLE S RD AUSTIN, TX 78745 (30.192531743000472, -97.77757449499967)",10623552,Routine Inspection,124
7-Eleven #24397,78757,2013-09-19,100,"5901 BURNET RD AUSTIN, TX 78757 (30.335014301000456, -97.73975966999967)",10750504,Routine Inspection,125
7-Eleven - Vaishnavi Food and Gas,78704,2013-08-28,88,"2820 S LAMAR BLVD AUSTIN, TX 78704 (30.243664345000468, -97.78231668999967)",10096855,Routine Inspection,126
7-Eleven - Vaishnavi Food and Gas,78704,2011-03-08,92,"2820 S LAMAR BLVD AUSTIN, TX 78704 (30.243664345000468, -97.78231668999967)",10096855,Routine Inspection,127
7-Eleven #22245,78704,2011-11-02,97,"2103 S CONGRESS AVE AUSTIN, TX 78704 (30.24326549300048, -97.75199334199965)",10159452,Routine Inspection,128
7-Eleven #23807,78745,2012-11-20,97,"6306 MANCHACA RD AUSTIN, TX 78745 (30.20909735200047, -97.80457648299966)",10322285,Routine Inspection,129
7-Eleven 36559H,78734,2013-08-22,88,"3636 N FM 620 RD AUSTIN, TX 78734 (30.377384062000488, -97.95245824799969)",10874261,Routine Inspection,130
7-Eleven #23807,78745,2013-12-12,93,"6306 MANCHACA RD AUSTIN, TX 78745 (30.20909735200047, -97.80457648299966)",10322285,Routine Inspection,131
7-Eleven Convenience Store,78705,2014-01-03,97,"2600 GUADALUPE ST AUSTIN, TX 78705 (30.290692511000486, -97.74136217599965)",10041113,Routine Inspection,132
7-Eleven #22245,78704,2011-05-04,100,"2103 S CONGRESS AVE AUSTIN, TX 78704 (30.24326549300048, -97.75199334199965)",10159452,Routine Inspection,133
7-Eleven Convenience Store #25445,78753,2013-07-26,90,"8900 N LAMAR BLVD AUSTIN, TX 78753 (30.35795631400049, -97.6999871969997)",10221183,Routine Inspection,134
7-Eleven Convenience Store #25445,78753,2014-01-21,94,"8900 N LAMAR BLVD AUSTIN, TX 78753 (30.35795631400049, -97.6999871969997)",10221183,Routine Inspection,135
7-Eleven Convenience Store #26353,78745,2012-05-02,100,"601 W BEN WHITE BLVD EB AUSTIN, TX 78745 (30.20688170000045, -97.7956469989997)",10184475,Routine Inspection,136
7-Eleven Convenience Store #26353,78745,2013-12-02,100,"601 W BEN WHITE BLVD EB AUSTIN, TX 78745 (30.20688170000045, -97.7956469989997)",10184475,Routine Inspection,137
7-Eleven Convenience Store #21884,78703,2011-11-07,80,"917 N LAMAR BLVD AUSTIN, TX 78703 (30.27484748000046, -97.75233336199966)",10294642,Routine Inspection,138
7-Eleven Convenience Store,78705,2012-04-26,91,"2600 GUADALUPE ST AUSTIN, TX 78705 (30.290692511000486, -97.74136217599965)",10041113,Routine Inspection,139
7-Eleven Convenience Store #25445,78753,2011-10-25,83,"8900 N LAMAR BLVD AUSTIN, TX 78753 (30.35795631400049, -97.6999871969997)",10221183,Routine Inspection,140
7-Eleven Convenience Store #25445,78753,2012-11-15,96,"8900 N LAMAR BLVD AUSTIN, TX 78753 (30.35795631400049, -97.6999871969997)",10221183,Routine Inspection,141
7-Eleven Convenience Store #21884,78703,2011-04-22,90,"917 N LAMAR BLVD AUSTIN, TX 78703 (30.27484748000046, -97.75233336199966)",10294642,Routine Inspection,142
7-Eleven Convenience Store #26353,78745,2013-05-15,88,"601 W BEN WHITE BLVD EB AUSTIN, TX 78745 (30.20688170000045, -97.7956469989997)",10184475,Routine Inspection,143
7-Eleven Convenience Store #26353,78745,2011-05-05,78,"601 W BEN WHITE BLVD EB AUSTIN, TX 78745 (30.20688170000045, -97.7956469989997)",10184475,Routine Inspection,144
7-Eleven Convenience Store #34251,78758,2013-04-22,92,"9200 BURNET RD AUSTIN, TX 78758 (30.37606712100046, -97.7257919279997)",10394056,Routine Inspection,145
7-Eleven Convenience Store,78705,2011-03-08,88,"2600 GUADALUPE ST AUSTIN, TX 78705 (30.290692511000486, -97.74136217599965)",10041113,Routine Inspection,146
7-Eleven Convenience Store,78705,2013-06-28,90,"2600 GUADALUPE ST AUSTIN, TX 78705 (30.290692511000486, -97.74136217599965)",10041113,Routine Inspection,147
7-Eleven Convenience Store #21884,78703,2013-02-04,97,"917 N LAMAR BLVD AUSTIN, TX 78703 (30.27484748000046, -97.75233336199966)",10294642,Routine Inspection,148
7-Eleven Convenience Store #24008,78751,2011-08-29,97,"5101 N LAMAR BLVD AUSTIN, TX 78751 (30.318934757000477, -97.73072499399967)",10155839,Routine Inspection,149
7-Eleven Convenience Store #24008,78751,2012-08-29,100,"5101 N LAMAR BLVD AUSTIN, TX 78751 (30.318934757000477, -97.73072499399967)",10155839,Routine Inspection,150
7-Eleven Convenience Store #21884,78703,2012-05-22,82,"917 N LAMAR BLVD AUSTIN, TX 78703 (30.27484748000046, -97.75233336199966)",10294642,Routine Inspection,151
7-Eleven Convenience Store #26353,78745,2011-11-03,96,"601 W BEN WHITE BLVD EB AUSTIN, TX 78745 (30.20688170000045, -97.7956469989997)",10184475,Routine Inspection,152
7-Eleven Convenience Store,78705,2011-10-13,87,"2600 GUADALUPE ST AUSTIN, TX 78705 (30.290692511000486, -97.74136217599965)",10041113,Routine Inspection,153
7-Eleven Convenience Store #24008,78751,2013-06-19,97,"5101 N LAMAR BLVD AUSTIN, TX 78751 (30.318934757000477, -97.73072499399967)",10155839,Routine Inspection,154
